id,titles,authors,descriptions,tags,text,image,date,,"finance, economics, poetry, prose, creative, politics, opinionated, informative, article, business, environmentalism, free-verse, free-write, middle-east, photography, science, society, feminism "
10,Rebirth ,Nicole Cohen ,"May is Sexual Assault Awareness Month, but the fight for sexual assault victims is a neverending cause. Another important day in awareness is marked on April 29th; “denim day”. Denim day is an event in which people, both survivors of sexual assault or those who want to visibly support them, wear denim to raise awareness....","Poetry, Society, Feminism, Creative",10.txt,https://2.bp.blogspot.com/-k8WEIGdnaT4/XtQRIy7kTBI/AAAAAAAA1Ts/F441jtxqLk09fMZFHepQQ5waGA0-dmUmwCK4BGAYYCw/s1600/blog-post-1-24.png,"May 23, 2020",,
11,The 'Ethical Canadian Oil' Claim From Politicians Will Soon Be Dead,Hanson Feng ,"Canadian oil and gas have taken a beating with no recovery after the 2014 crash. Husky Energy (TSX: HSE.TO) was once known as a stable and blue-chip stock with a price over almost $50 before the great recession of 2008, since the beginning of 2020, a Starbucks latte is more expensive than a share of this giant organization.","Economics, Finance, Business",11.txt,https://1.bp.blogspot.com/-x-994vm9nHE/XtQsR-2LooI/AAAAAAAA1YE/XJfk-K7GLNMD94jb7smVIUBTAK_CrLLWgCK4BGAYYCw/s1600/energy-oil_rig-56a31bb65f9b58b7d0d06350.jpg,"May 26, 2020",,
12,Storytelling In Movies ,Andrew Wei ,"History tells grand conquests of extraordinary generals, tactical masterminds on the battlefield, and tyrannical rulers devastating the kingdom. It portrays the power and politics of the nobility and the crooked dealings of the Church. It tells the victories of the privileged elite....","Free Write, Creative ",12.txt,https://2.bp.blogspot.com/-QBp4xOdGJug/XtQPY6iQoKI/AAAAAAAA1TI/85JOrjoLqWYPiNZ0uaNSw1pzz7bYKtH9wCK4BGAYYCw/s1600/csm_Shooting_732826c71b.jpg,"May 28, 2020",,
13,Escaping Our Post-Antibiotics Future ,Badra Abbas ,"There are many miracles modern medicine has afforded us, the ability to undergo organ transplantation, recovering from infected cuts and scrapes, and surviving some of the deadliest infectious diseases on the planet...","Informative Article, Science, Politics",13.txt,https://4.bp.blogspot.com/-OYjdeDt-Sj4/XtQsq8YScKI/AAAAAAAA1Zo/rx3_8uB69QU97H2Pu3vP5jwJ5sPlkm4xQCK4BGAYYCw/s1600/headache_pain_pills_medication_tablets_drugs_drugstore_medicine-565804-1024x683.jpg,"May 28, 2020",,
14,Black Live Matter,Julia Wang ," On May 25th, George Floyd died not long after a police officer kneeled on his neck for at least 7 minutes. This was done proceeding arrests that were made on the alleged basis of forging a $20 dollar bill at a grocery store. Sadly, this type of story is not rare and the patterns that exist between each circumstance demonstrate a strong correlation to racism and prejudice towards minority groups....","Informative Article, Society, Politics",14.txt,https://3.bp.blogspot.com/-_t7po9WQQxs/XthVyQqXqXI/AAAAAAAA1tI/20nXtZq06DEo7oPrzncrAT8SIgGAN4XeACK4BGAYYCw/s1600/donovan-valdivia-4UKyOqDnSFY-unsplash.jpg,"June 3, 2020",,
15,Bank Fees ,Hanson Feng ,"After 2008, the battered reputation of banks took the front stage and the distrust from millennials has only exacerbated the situation...","Finance, Informative Article, Economics, Business",15.txt,https://1.bp.blogspot.com/-Wkn7urqQ4k8/XtqKZm0iacI/AAAAAAAA1uE/xPacVepkSdMloyxyRFb75o7rIjEnwOdewCK4BGAYYCw/s1600/m-b-m-ZzOa5G8hSPI-unsplash.jpg,"June 4, 2020",,
16,Investments As A Teenager ,Hanson Feng ,"As Gen Z, we’ve seen the financial woes faced by Millennials due to rising costs of living and lack of work following a recession. It’s never too young to start saving for future chapters in your life; a home, an education, etc...","Finance, Informative Article, Economics, Business",16.txt,https://4.bp.blogspot.com/-lQlI5Zp71AE/XtqK8Fpr1SI/AAAAAAAA1uY/cPnIjq5vie4GFKgIRcBBXHeQJS-pEGVpACK4BGAYYCw/s1600/chronis-yan-1M4wYTqVD4o-unsplash.jpg,"June 4, 2020",,
17,Immigration,Abbie Seto ,"This year, the COVID-19 pandemic has landed the world in some very unprecedented times. In the matter of a few short weeks, life was reimagined, and everybody was struggling to grasp this new norm. COVID-19 is a newly discovered cause of the coronavirus, which is an infectious family of viruses. ","Opinion Article, Politics ",17.txt,https://2.bp.blogspot.com/-0GLi3A0Xhbw/XtqMidFQrlI/AAAAAAAA1vA/IPCElEweXpMERvzH27CxbKm_ZpayfFSuwCK4BGAYYCw/s1600/ali-tawfiq-0ahqRV1sJJ4-unsplash.jpg,"June 5, 2020",,
18,Canadian Oil Isn't Ethical,Hanson Feng ,Canadian oil and gas have taken a beating with no recovery after the 2014 crash. Husky Energy (TSX: HSE.TO) was once known as a stable and blue-chip stock with a price of over almost $50 before the great recession of 2008.....,"Economics and Business, Opinion Article,",18.txt,https://1.bp.blogspot.com/-gGKjs7lzKRE/XuFIsbbNrqI/AAAAAAAAqZ4/k02rO2k7cOAS6xkTTkgqh_8up4mSpbwxACK4BGAsYHg/s1600/Screen%2BShot%2B2020-06-10%2Bat%2B2.52.12%2BPM.png,"June 5, 2020",,
19,Seven Silent Seas ,Vaishu Koduri ,"We are the sailors, on this sea of knowing uncertainty. Refusing to let the waves cripple us, the sun melt us, and the tide drown us....","Society, Poetry, Creative",19.txt,https://1.bp.blogspot.com/-NXnl2KS82WM/Xt03RTiUBTI/AAAAAAAA1xk/rQnVJlSeKE0UHZcBTtGN6r3Z70wrvhIcwCK4BGAYYCw/s1600/ivana-cajina-LlDQPnErFxo-unsplash%2B%25281%2529.jpg,"June 7, 2020",,
20,Canadian Hypocrisy ,Shayan Siddiqui ,"Canada prides itself as a nation that is progressive, free, and that cares about human rights. Time and time again, Canada has supported sanctions and embargoes against regimes with appalling histories of human rights violations. However, when it comes to China, Canada consistently prioritizes its economic relationships over doing what is right....","Opinion Article, Politics ",20.txt,https://4.bp.blogspot.com/-4twZ_ap_3kI/XuFxewiRB5I/AAAAAAAA14U/iyd0BmDtgpM5kb7S_BSJVWKbodaSb5WUwCK4BGAYYCw/s1600/afp_1768eq-1.jpg,"June 10, 2020",,
21,Jokes ,Kishi Akinsunmade ,"We live in a world of stand up comedy. Where news is a joke, and bias is the remedy.Newsbrands are now headliners, reporting accurate rumours.","Poetry , Society, Politics ",21.txt,https://3.bp.blogspot.com/-cAAJOuDKvak/XuFurROuUXI/AAAAAAAA134/TtXSsVXaA0cPAKVORU3Zej2yC8a8B0y1ACK4BGAYYCw/s1600/mika-baumeister-nCykWCCb5aI-unsplash.jpg,"June 10, 2020",,
22,Boosting The Economy With Consumer Spending ,Hanson Feng ,"If you’re blessed in this time of economic turmoil with a secure high paying job, this is the time to spend to boost an economy for every Canadian. ",Economics and Business,22.txt,https://1.bp.blogspot.com/-Xod2hWPn1n8/XumHiZxWwJI/AAAAAAAAqk4/03iyr-ucdBgJAyGi6noNpnVUjgQFXraywCK4BGAsYHg/s2184/Screen%2BShot%2B2020-06-16%2Bat%2B9.00.24%2BPM.png,"June 16, 2020",,
23,How The World Failed Yemen,"Mohamed Ahmed, Badra Abbas ","Yemen is currently in the midst of the largest humanitarian crisis in the world. The country has been in a civil war since 2015, with two major sides: the Houthi rebels and the government....","Informative Article, Middle East, Politics",23.txt,https://1.bp.blogspot.com/-udlKTxRZ9u0/XuuwLLBTIRI/AAAAAAAA2C4/yW84kSshhvEhQgwthbHSiR07mxyi3uCCQCNcBGAsYHQ/s1600/IMG-8650.JPG,"June 18, 2020",,
24,A Montage ,"Raazin Anwar, Siddharth Nair","Walk into the gateway, hear the ruste of the bangles of a thousand phantom women...","Photography, Creative, Poetry",24.txt,https://1.bp.blogspot.com/-EE1MEFfYZ-8/Xu_FAPav4pI/AAAAAAAA2F4/u-yF04pgYBoLkKxyDY0lx6vo1ZCuVsfkgCPcBGAYYCw/s1600/Copy%2Bof%2BA%2BPhotography%2Bmontage.png,"June 21, 2020",,
25,Bull Market Confusion,Hanson Feng ,"It’s June 3, 2020; I woke up and opened my usual apps, Instagram, outlook, and apple stocks. It’s been three and a half months of an upward trend for the S&P 500 (the largest composite index covering the American Stock market)...","Economics and Business, Finance, Opinion Article ",25.txt,https://2.bp.blogspot.com/-yEqvA1UHwDk/XvOhpdMrEJI/AAAAAAAA2Pk/U4dLgDvkugAMje564S_Ger9m9TH5tn-aACK4BGAYYCw/s1600/chris-liverani-dBI_My696Rk-unsplash.jpg,"June 24, 2020",,
26,Proud Love,Anna Johnson,"This is a poem to remember the Stonewall riots and its leader, Marsha P. Johnson, the coolest drag queen ever. But honestly, it is for everyone who feels like they don't belong. This is for you...","Poetry, Society, Creative",26.txt,https://1.bp.blogspot.com/-ADPTtxoyLsc/XvOiAVM3TFI/AAAAAAAA2Pw/3D2ySlukZtw6IvS84p1q_98r3ur1QfQMACNcBGAsYHQ/s1600/sharon-mccutcheon-QGQz-IBBl5w-unsplash.jpg,"June 24, 2020",,
27,The Middle Eastern Cold War,Mohamed Ahmed ,"It is no secret that the Middle East is one of the most unstable regions in the world. Many of its governments are led by undemocratic rulers, there are countless militia groups that spread chaos and unrest throughout the region, and its nations are seemingly in constant conflict amongst themselves, as well as with nations outside of the region...","Middle East, Politics, Informative Articles ",27.txt,https://2.bp.blogspot.com/-NGW54PPRyw4/XvOmwWuTwWI/AAAAAAAA2Qs/9UtD3DIwwkgBetL6PS6QUbeT10O1C6jeQCK4BGAYYCw/s1600/-images-stories-2017-2017-11-2017-11-13_saudi.jpg,"June 24, 2020",,
28,A Murder of Crows ,Henry Yang ,"When the ground is covered by snow, when the sun shines with Aurelian white look up to the snowman. He glistends on the outside, the icy pale on his frozen curves are unile his insides, fill with mud and dirt for her is opaque beneath his skin....","Poetry, Society, Creative",28.txt,https://4.bp.blogspot.com/-H3iL18EtYGk/XwOuOX9Nh0I/AAAAAAAA2a0/ffjaMv_84sYbkwGuGw3899KVkAxhkYHzACK4BGAYYCw/s1600/amarnath-tade-XyrJhBf86Cs-unsplash.jpg,"June 30, 2020",,
29,The Whirling Vortex,Mehroosh Majid ,"""Sahr! Sahr! Come, see what is happening."" Relapsing back to senses, I recounted I am not Sahr. Nevertheless, she clasped my hand in hers and took me to the spectacle. They were tearing a woman's heart apart, shattered her bones to pieces....","Free Write, Creative ",29.txt,https://4.bp.blogspot.com/-mqp_CfJ-EpE/Xvlf_BF8chI/AAAAAAAA2U0/BIDrXKGUB-Iec2IiRYSNX_7tXOgu8IFfgCK4BGAYYCw/s1600/max-muselmann-9KF7A8PJFF8-unsplash.jpg,"June 30, 2020",,
30,Bill 1,Abbie Seto ,"While the rest of the world protests against racism, fights for human rights, and speaks up about injustices, the Bill 1 law was passed on June 17th, 2020 in Alberta. This bill worked to spark controversy amongst Albertans and Canadians. Bill 1 is also known as the Critical Infrastructure Defence Act and was initially proposed on February 25th, 2020 by the Albertan Premier, Jason Kenney....","Informative Article, Politics ",30.txt,https://www.citynews1130.com/wp-content/blogs.dir/sites/9/2019/01/CPT125525999.jpg,"July 1, 2020",,
31,Oh Kanata ,"Shayan Siddiqui, Vaishu Koduri ","On a global stage, Canada is the perfect country. Condemning the actions of nations committing human rights atrocities, fighting for social reform to allow every citizen a happy, healthy, and educated life, and remains a safe haven for refugees and immigrants looking to better their lives. Today marks our 153rd birthday, a tremendous milestone in the history of our great country.","Opinion Articles, Society",31.txt,https://1.bp.blogspot.com/-WSL-sOYzyDE/Xvzb0O4ky-I/AAAAAAAArQ0/s2Anv3-bp90NxNwHDGETGFDloyUfc_QtQCK4BGAsYHg/s2200/Screen%2BShot%2B2020-07-01%2Bat%2B12.52.45%2BPM.png,"July 1, 2020",,
32,Blind ,Anonymous ,"Maybe it’s better to be blind. Maybe then they would see beyond us and see me for what I am, Maybe they become colour blind and convict us because black is the new red, Maybe my shade appears inferior to their arguable colour...","Poetry, Society, Politics ",32.txt,https://images.unsplash.com/photo-1551913902-c92207136625?ixlib=rb-1.2.1&amp;ixid=eyJhcHBfaWQiOjEyMDd9&amp;auto=format&amp;fit=crop&amp;w=1000&amp;q=80,"July 3, 2020",,
33,Defend the Defenders ,Ayshka Najib ,"Global witness figures reveal that last year, more than three environmental activists were murdered each week on average, with countless more criminalized. The injustice faced by environmental activists is reprehensible. Hence it is high time that people stood in solidarity with the environmental defenders. ","Environmentalism, Opinion Articles, Politics",33.txt,https://3.bp.blogspot.com/-PY1GsqyYoHk/XwpiNR6poWI/AAAAAAAA2rU/wOfQ7Utw268MGMGqeR9CWJYC5qZX-F8SACK4BGAYYCw/s1600/hello-i-m-nik-QXv1T5c359o-unsplash.jpg,"July 11, 2020",,
34,101 Stocks and ETFs,Hanson Feng ,"It is important to note that ETFs and Mutual funds both have management fees as they’re considered “managed investment funds”. ETFs are typically managed by AI technology to mirror an industry or market, so their management fee (called a MER) is far lower (under 1% of your investment annually) than a mutual fund.","Business and Economics, Finance ",34.txt,https://2.bp.blogspot.com/-tEDbcS55hao/XxM-iFf8nxI/AAAAAAAA2vg/rcajv9f1AioxWoHObFNydkXsNm0TLin4gCK4BGAYYCw/s1600/carlos-muza-hpjSkU2UYSU-unsplash.jpg,"July 14, 2020",,
35,Ephemeral ,Nicole Cohen ,"For those who are cisgender (a person whose sense of personal identity and gender corresponds with their birth sex) or heterosexual (attracted to only the opposite sex), it’s easy to not understand the struggles and discrimination LGBT+ youth and the community as a whole face throughout their lives...","Poetry, Society, Creative",35.txt,https://2.bp.blogspot.com/-PBHpI10zQx8/XxM_oNmUARI/AAAAAAAA2vs/eWs0ju-rwHcTtFjcHMqWTMPhfYARLyXPACK4BGAYYCw/s1600/john-noonan-QM_LE41VJJ4-unsplash.jpg,"July 18, 2020",,
36,The Fourth Industrial Revolution ,Tim Vong,"We are on the brink of a technological revolution that will fundamentally change the way we work, live, and relate to one another. The “Fourth Industrial Revolution” is coming and we are not prepared to deal with the economic impact of automation as AI is projected to take over the workforce....","Science, Opinion Article, Economics and Business ",36.txt,https://images.unsplash.com/photo-1455165814004-1126a7199f9b?ixlib=rb-1.2.1&amp;ixid=eyJhcHBfaWQiOjEyMDd9&amp;auto=format&amp;fit=crop&amp;w=1000&amp;q=80,"July 23, 2020",,
37,The Death of the World's Largest Democracy ,"Alazne Qaisar, Badra Abbas ","India’s treatment of minorities and in particular her Muslim population has recently surfaced on the international stage as a trend towards systemic oppression, suppression of cultural and religious identities, a rise in intolerance and discrimination. ","Opinion Article, Politics ",37.txt,https://1.bp.blogspot.com/-68YRMtpnhrU/Xxs0hyoA5PI/AAAAAAAA3Fc/f0SoA2o8ejszFFpL5d0y7F6rJUjzdrTSwCNcBGAsYHQ/s1600/B9D4116E-DB0A-49A8-988E-EEF2687BB90C.jpeg,"July 24, 2020",,
38,Stories,Anna Johnson,"There's a story A story you don't know. There's pain, There's blood, There are tears stuck to the window, Like you're stuck to your privilege. There are screams, As loud as the music you play.","Poetry, Society, Creative",38.txt,https://images.unsplash.com/photo-1521225753516-46438a76f25a?ixlib=rb-1.2.1&amp;auto=format&amp;fit=crop&amp;w=1000&amp;q=80,"July 27, 2020",,
39,Kashmir - The Desolated Heaven ,Syed Liyaqat ,"Desolated streets and empty hearts, Made the people begin starving. Far from the lord, dwelling, and dwarf, Shed their shells, made them apart.","Poetry, Society, Creative",39.txt,https://images.outlookindia.com/public/uploads/articles/2020/7/23/Haseeb_Kashmir_1_20200810_571_855.jpg,"July 29, 2020",,
40,Billionaire on COVID-19,Hanson Feng ,"There are lots of winners and losers, from institutional investors like Mutual Fund managers to personal investors like you and me. Whether you’ve invested in highly lucrative companies that benefit directly or indirectly from the pandemic, you’ve benefited. ",Business and Economics,40.txt,https://cdn.theatlantic.com/thumbor/7bPdSorUd7y7UW_gqctEfgzNot0=/0x613:5895x3929/720x405/media/img/mt/2020/02/AP_20038461886868/original.jpg,"August 7, 2020",,
41,The Unrealized Dreams of the Egyptian People ,Mohamed Ahmed ,"The Arab Spring was a period of huge change throughout the Middle East. Starting in Tunisia, it consisted of a series of pro-democracy uprisings in many Arab and largely Muslim countries...","Middle East, Politics, Informative Articles ",41.txt,https://si.wsj.net/public/resources/images/B3-BK600_bkrvtr_GR_20180814154031.jpg,"August 9, 2020",,
42,Desmona,Kishi Akinsunmade,This poem is built around the idea of a toxic friendship. This is an odd friendship as both friends are part of one persona. This poem exhibits aspects of bullying because most of our first experiences with it occur within ourselves.,"Poetry, Creative",42.txt,https://images.unsplash.com/photo-1558522195-e1201b090344?ixlib=rb-1.2.1&amp;ixid=eyJhcHBfaWQiOjEyMDd9&amp;auto=format&amp;fit=crop&amp;w=1000&amp;q=80,"August 16, 2020",,
43,Xingjiang Reeducation Campes ,Anonymous ,"Following the heightening of government-led terrorism in recent years, the CPC (Communist Party of China) of the People’s Republic of China has resorted to extremism and other forms of excessive ethnic cleansing to fulfil their agenda of Sinicization...","Informative Article, Politics ",43.txt,https://www.motherjones.com/wp-content/uploads/2019/11/uighur.jpg?w=1200&amp;h=630&amp;crop=1,"August 25, 2020",,
44,The Corona Catastrophe ,Shayan Siddiqui,"Since February, the macroeconomic effects of the COVID-19 pandemic have always been in question. Trillions of dollars in GDP have been lost due to the shutdown of workplaces owing to the safety implications of COVID-19....",Economics and Business ,44.txt,https://images.pexels.com/photos/159888/pexels-photo-159888.jpeg?auto=compress&amp;cs=tinysrgb&amp;h=750&amp;w=1260,"August 28, 2020",,
45,Back to School Time Management ,Hanson Feng ,"Ready? Set. Go! You have 1,000 minutes. It’s not about the amount of time but how you use it.","Free Write, Business",45.txt,https://images.unsplash.com/photo-1512856246663-647a81ef198e?ixlib=rb-1.2.1&amp;ixid=eyJhcHBfaWQiOjEyMDd9&amp;auto=format&amp;fit=crop&amp;w=1000&amp;q=80,"September 4, 2020",,
46,Reflections on the Human Conditions ,Iman Bajwa,"Understanding the human being is a perplexing thing.  From the tips of our toes to the very depths of our soul; we are unlike any other. We don’t co-exist, oh no, not even with each other. We walk the earth as if we own it. To each their own, we claim. ","Free Write, Creative ",46.txt,https://lh4.googleusercontent.com/Xv2sTgO8v1foTfatIvpUwHhIFRZChXQ7kON6RP19L2inj15lhqes068NiuBuzddHIpIOL0AJC05-NVLFSVH0oNbmgFH8dZYai-2FE2l_7VSLt12Qe7jdRxH_xgYoznNMzvo7h-wj,"September 5, 2020",,
47,Charity: A Form of Healing Humanity ,Eimaan Shahid ,"You have probably heard it a thousand times: if you have a roof over your head, clothes on your back, and food in the fridge, be grateful. Living in North America, many of us have been so accustomed to these luxuries in our life that having our basic needs readily available to us does not require a second thought....","Free Write, Society, Politics",47.txt,https://lh6.googleusercontent.com/vzVyRUskHaXOlQWVoZd8qC2dnvv9MQ-SC8akY_ngxvdpVAIJIo8QNvZ5HyBa8K_Sjpy7yscY_cpszADmYe8AiWBOpmwoNBkexbYMoUrh53KtOZNCQWHMD74Hd9XMPkIzoBRmeFA=s16000,"September 13, 2020",,
48,The Songbirds ,Nicole Cohen ,"Recently, you may have seen the hashtag #ChallengeAccepted floating around social media. Many are unaware of the hashtag’s underlying context; an extension for women to call for solidarity on social media in order to bring attention to the femicide happening in Turkey....","Poetry, Feminism, Creative",48.txt,https://lh3.googleusercontent.com/-Y5ig3DZjyMs/X53Q1tJdw2I/AAAAAAAA66w/TUUaN3qap0wr6hAI40lhvKZADLQZsNsJACNcBGAsYHQ/s16000/will-bolding-QO6rUUeP8OY-unsplash.jpg,"September 17, 2020",,
49,Global Economy Six Months Into The Pandemic ,Hanson Feng ,"This week marked the six-month mark of the World Health Organization declaring a Pandemic as COVID-19 took a chokehold of the global economy as they were shut down. As each region and country took different measures, we now look at how their response to COVID-19 tolled their economy. ",Economics and Business,49.txt,https://lh3.googleusercontent.com/-nlFd2JYUiwg/X2d_gZ2vymI/AAAAAAAA6OM/i7bEGuw3prM3RrO0YUxFsEgPASgWiEjNACNcBGAsYHQ/s16000/geronimo-giqueaux-Mp4Fq6zj6D4-unsplash.jpg,"September 20, 2020",,
50,The Qatar Blockade ,Mohamed Ahmed ,"On June 5th, 2017, Saudi Arabia, Bahrain, Egypt, and the United Arab Emirates imposed a land, sea, and air blockade against the small Gulf country of Qatar.","Middle East, Politics, Informative Articles ",50.txt,https://lh3.googleusercontent.com/-vC9ufGd8Tng/X2q_KRnzwzI/AAAAAAAAyUc/_iuSudI8XoYFkACdPL5NiJrI58CMtaTxQCLcBGAsYHQ/s16000/gcc.jpg,"September 22, 2020",,
51,What Can I Invest In?,Hanson Feng ,"I want to make money from money, what can I go for? For everyday investors, the main risk mitigation strategy is portfolio diversification and allocating your assets to reflect the stage in your life.",Economics and Business,51.txt,https://lh3.googleusercontent.com/-jzG1JOURnc8/X3eEIySKrtI/AAAAAAAAylk/YFosOjpVxYoalIbhdk0Psso76C6FhdKAgCLcBGAsYHQ/s16000/image.png,"September 26, 2020",,
52,The Red Stain,Abbie Seto,Women around the world have to go through and worry about an issue that’s specific to them regarding personal hygiene - menstruation...,"Feminism, Society, Opinion Article, Politics",52.txt,https://1.bp.blogspot.com/-7L1SATT_crw/X3eK2qwn_AI/AAAAAAAAynI/SdtRlbthgakF4xUl5MmH8QWPQFRHwS-_ACLcBGAsYHQ/s16000/Screen%2BShot%2B2020-10-02%2Bat%2B2.16.15%2BPM.png,"October 2, 2020",,
53,It Was Dinner Time,Kishi Akinsunmade,"I was eating my weight in despair, At least what I thought it meant. It was not dinner time, It was celebration time. Apparently, it was time for fireworks, Or so it seemed...","Poetry, Creative",53.txt,https://lh3.googleusercontent.com/-Ip5pebQixoo/X2-eV0mWXiI/AAAAAAAAydI/x9kX4FM6eEIqq5c2r894svydEMc4NcSAACLcBGAsYHQ/s16000/image.png,"October 8, 2020",,
54,The Beirut Explosion ,"Badra Abbas, Mohamed Ahmed ","On August 4th, 2020, a massive explosion ripped through the Lebanese capital of Beirut. Over 200 people were killed and thousands of others were injured. Lebanese authorities have since stated that the blast was the result of the detonation of 2,700 tonnes of ammonium nitrate that was stored unsafely at the Port of Beirut....","Middle East, Politics, Informative Articles ",54.txt,https://lh3.googleusercontent.com/-SshjKfHY0vQ/X4OPhxzL2bI/AAAAAAAAzCs/SXVSZC2CwTgy3pwpy7jj0Cmg0in2PA6SQCLcBGAsYHQ/s16000/image.png,"October 11, 2020",,
55,Budgeting and Compound INterest ,Hanson Feng ,"How do I budget? 100% of my income is disposable income, no bills, loan payments, or other financial obligations. I use the pay yourself first method – I know how much I’m being paid as I’m on a salaried payroll sequence, I know when and how much each paycheque will be....","Finance, Opinion Article, Business",55.txt,https://lh3.googleusercontent.com/-4-GM_5EQ06c/X4iEOZZpEFI/AAAAAAAAzK4/4kpWt11zRSUsrzNIn0DqM-85j8hv5r2VQCLcBGAsYHQ/s16000/image.png,"October 15, 2020",,
56,Wipe the Mirror ,Vaishu Koduri ,"I couldn’t bring myself to wipe the mirror. What was waiting for me when I did? A confirmation of the truth I have always known? The truth that refuses to wipe itself from my skin, my bones, my soul....","Free Write, Society, Creative",56.txt,https://1.bp.blogspot.com/-m2adrHzlPpQ/X5S_oDb5FrI/AAAAAAAAzhQ/2vORqyr4JvEMmVN25vL8_ivDJqih2YwmACLcBGAsYHQ/s16000/Screen%2BShot%2B2020-10-24%2Bat%2B5.58.10%2BPM.png,"October 24, 2020",,
